Translated,Collection
Political prisoners | ~ | political prisoners of the public prison,Centro Cultural Tallersol (Chile)
Woman | ~ | Social Work with Mothers,Centro Cultural Tallersol (Chile)
Original towns,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Christianity | ~ | Culture of Peace,Centro Cultural Tallersol (Chile)
Music | ~ | Political prison,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Political prisoners,Centro Cultural Tallersol (Chile)
Student movement,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Student movement,Centro Cultural Tallersol (Chile)
Political prisoners,Centro Cultural Tallersol (Chile)
International Labor Day | ~ | Labor Rights,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Music | ~ | Theater,Centro Cultural Tallersol (Chile)
Workers,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
theater,Centro Cultural Tallersol (Chile)
Student movement,Centro Cultural Tallersol (Chile)
Original Peoples | ~ | Music | ~ | Dance,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Christianity,Centro Cultural Tallersol (Chile)
International Women's Day,Centro Cultural Tallersol (Chile)
Original towns,Centro Cultural Tallersol (Chile)
Original towns,Centro Cultural Tallersol (Chile)
International Women's Day,Centro Cultural Tallersol (Chile)
Original towns,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Poetry,Centro Cultural Tallersol (Chile)
Who,Centro Cultural Tallersol (Chile)
Music | ~ | Dance,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Photography,Centro Cultural Tallersol (Chile)
Protests,Centro Cultural Tallersol (Chile)
Who,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Music,Centro Cultural Tallersol (Chile)
Health | ~ | Labor Rights,Centro Cultural Tallersol (Chile)
theater,Centro Cultural Tallersol (Chile)
Poetry | ~ | Labor Rights,Centro Cultural Tallersol (Chile)
print shop,Centro Cultural Tallersol (Chile)
Music | ~ | Dance,Centro Cultural Tallersol (Chile)
theater,Centro Cultural Tallersol (Chile)
Cinema | ~ | Music,Centro Cultural Tallersol (Chile)
Poetry,Centro Cultural Tallersol (Chile)
Sayings,Centro Cultural Tallersol (Chile)
Political posters | ~ | Presidents,Centro Cultural Tallersol (Chile)
Priests Political activity,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Community Organization,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Political Prisoners Chile | ~ | Women Political Activists Chile,Centro Cultural Tallersol (Chile)
Chile Theater,Centro Cultural Tallersol (Chile)
Marginal populations | ~ | Social aspects Chile,Centro Cultural Tallersol (Chile)
Political murders | ~ | political violence,Centro Cultural Tallersol (Chile)
Chilean poets,Centro Cultural Tallersol (Chile)
Artistic festivals,Centro Cultural Tallersol (Chile)
Artistic festivals,Centro Cultural Tallersol (Chile)
Chile parties,Centro Cultural Tallersol (Chile)
Young Political Activity | ~ | Festivals,Centro Cultural Tallersol (Chile)
Illegal detention | ~ | Chile Political Persecutions,Centro Cultural Tallersol (Chile)
Illegal detention | ~ | Chile Political Persecutions,Centro Cultural Tallersol (Chile)
Chile Political Persecution | ~ | Chile 1973-1990 dictatorship,Centro Cultural Tallersol (Chile)
Workshops | ~ | Children in art,Centro Cultural Tallersol (Chile)
Workshops | ~ | Women Political Participation,Centro Cultural Tallersol (Chile)
War Councils and Research Courts Chile | ~ | Dictatorship Chile 1973-1990 | ~ | Political prisoners Chile 1973-1990,Centro Cultural Tallersol (Chile)
Chile 1973-1990 dictatorship,Centro Cultural Tallersol (Chile)
Chile dictatorship 1973-1991 | ~ | Chile Exiles,Centro Cultural Tallersol (Chile)
Chile 1973-1991 | ~ | Chilean poets,Centro Cultural Tallersol (Chile)
Chile 1973-1991 | ~ | Chilean singers,Centro Cultural Tallersol (Chile)
Chile dictatorship 1973-1991 | ~ | unions | ~ | political activity | ~ | Chile,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Chile Theater,Centro Cultural Tallersol (Chile)
Chile 1973-1990 dictatorship,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Latin American music,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Latin American music,Centro Cultural Tallersol (Chile)
Chile 1973-1990 | ~ | Chilean Theater,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Latin American music,Centro Cultural Tallersol (Chile)
Chile 1973-1990 | ~ | Chilean Theater,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Concerts | ~ | posters,Centro Cultural Tallersol (Chile)
Chile 1973-1990 | ~ | Chilean Theater,Centro Cultural Tallersol (Chile)
Latin American solidarity | ~ | American interventionism,Centro Cultural Tallersol (Chile)
Chile 1973-1990 | ~ | Chilean Theater,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Priests Political Activity | ~ | Workers' Priests,Centro Cultural Tallersol (Chile)
Chile 1973-1990 | ~ | Chilean Theater,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Political persecutions,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Political murders,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | posters,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | posters,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Non-profit organizations,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Human Rights,Centro Cultural Tallersol (Chile)
Chile 1973-1990 dictatorship,Centro Cultural Tallersol (Chile)
Folk music | ~ | musical groups,Centro Cultural Tallersol (Chile)
Chile 1973-1990 | ~ | Chilean Theater,Centro Cultural Tallersol (Chile)
Chile 1973-1990 | ~ | Chilean Theater,Centro Cultural Tallersol (Chile)
Chile Dictatorship 1973-1990 | ~ | Chilean cinema,Centro Cultural Tallersol (Chile)
Chile 1973-1990 | ~ | Performance (art) Chile,Centro Cultural Tallersol (Chile)
Poetry,Centro Cultural Tallersol (Chile)
Poetry,Centro Cultural Tallersol (Chile)
Political prison | ~ | political prisoners,Centro Cultural Tallersol (Chile)
Payadores | ~ | Paya,Centro Cultural Tallersol (Chile)
Poetry,Centro Cultural Tallersol (Chile)
Rights of boys and girls | ~ | Childhood,Centro Cultural Tallersol (Chile)
Unionism,Centro Cultural Tallersol (Chile)
Chilean music,Centro Cultural Tallersol (Chile)
Chilean music,Centro Cultural Tallersol (Chile)
Chilean music | ~ | New song,Centro Cultural Tallersol (Chile)
Chilean music,Centro Cultural Tallersol (Chile)
Political prison | ~ | political prisoners,Centro Cultural Tallersol (Chile)
Chilean music,Centro Cultural Tallersol (Chile)
Chilean music | ~ | New Chilean Song,Centro Cultural Tallersol (Chile)
Chilean theater,Centro Cultural Tallersol (Chile)
Childhood,Centro Cultural Tallersol (Chile)
Chilean music,Centro Cultural Tallersol (Chile)
Chilean cinema,Centro Cultural Tallersol (Chile)
Colonialism,Centro Cultural Tallersol (Chile)
Colonialism,Centro Cultural Tallersol (Chile)
Catholic Church,Centro Cultural Tallersol (Chile)
Political prison | ~ | political prisoners,Centro Cultural Tallersol (Chile)
Exile | ~ | Exiles,Centro Cultural Tallersol (Chile)
Political homicide,Centro Cultural Tallersol (Chile)
Sexuality,Centro Cultural Tallersol (Chile)
Exile | ~ | Exiles | ~ | Forced Disappearance | ~ | Disappeared | ~ | political homicide | ~ | Executed | ~ | Relegation | ~ | Protest Conference,Centro Cultural Tallersol (Chile)
Chilean music,Centro Cultural Tallersol (Chile)
Political homicide,Centro Cultural Tallersol (Chile)
Trade unionism | ~ | Workers Class,Centro Cultural Tallersol (Chile)
British music,Centro Cultural Tallersol (Chile)
Political homicide | ~ | Dictatorship resistance,Centro Cultural Tallersol (Chile)
Political homicide | ~ | Young fighter's day,Centro Cultural Tallersol (Chile)
Chilean music,Centro Cultural Tallersol (Chile)
Chilean music,Centro Cultural Tallersol (Chile)
,Centro Cultural Tallersol (Chile)
Chilean music,Centro Cultural Tallersol (Chile)
,Centro Cultural Tallersol (Chile)
Catholic Church,Centro Cultural Tallersol (Chile)
,Centro Cultural Tallersol (Chile)
Chilean theater,Centro Cultural Tallersol (Chile)
,Centro Cultural Tallersol (Chile)
Student movement,Centro Cultural Tallersol (Chile)
Chilean cinema,Centro Cultural Tallersol (Chile)
Chilean music,Centro Cultural Tallersol (Chile)
,Centro Cultural Tallersol (Chile)
Voluntary works | ~ | Student Movement,Centro Cultural Tallersol (Chile)
Campesina Confederation of Peru (CCP) | ~ | Secretary of Human Rights | ~ | Activities | ~ Human Rights | ~ | Education | ~ | Caj,Archive of Confederación Campesina del Perú (CCP)
CAMPESINA CONFEDERATION OF PERU (CCP) | ~ | Secretary of Human Rights | ~ | Activities | ~ Human Rights | ~ | Education | ~ | Self -Defense,Archive of Confederación Campesina del Perú (CCP)
confederation pederation of Peru (CCP)|~|Secretariat of Human Rights|~|Detención altamirano|~|~|~|sinchis detentional human rights|~~|~),Archive of Confederación Campesina del Perú (CCP)
confederation pederation of Peru (CCP)|~|Secretariat of Human Rights|~|Detención altamirano|~|~|~|sinchis detentional human rights|~~|~),Archive of Confederación Campesina del Perú (CCP)
Peasant Confederation of Peru (CCP) | ~ | Secretary of Human Rights | ~ | Cases | ~ | Arbitrary detention | ~ | Peasant Community | ~ | Human Rights Organizations | ~ | iu | ~ | Germán Altamirano Zuñiga,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Secretary of Human Rights | ~ | political prisoners | ~ | Letters | ~ | prisons | ~ | The pediment | ~ | British pavilion | ~ | chromtex | ~ | fep | ~ | iu | ~ | Fasma | ~ | strikes,Archive of Confederación Campesina del Perú (CCP)
Confederation of the Peasant of Peru (CCP) | ~ | Secretary of Human Rights | ~ | political prisoners | ~ | Letters | ~ | prisons | ~ | San Pedro de Lurigancho | ~ | Miguel Castro Castro | ~ | British Pavilion | ~ | San Idelfonso | ~ | IU,Archive of Confederación Campesina del Perú (CCP)
Peasant Confederation of Peru (CCP) | ~ | Human Rights Secretary | ~ | Cases | ~ | Arbitrary detention | ~ | Federations | ~ | Native communities | ~ | Terrorism | ~ | Amueshas | ~ | yaneshas,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Secretary of Human Rights | ~ | Cases | ~ | Massacres | ~ | Murders | ~ | Armed Forces | ~ | RONDEROS | ~ | Peasant communities | ~ | Iquicha,Archive of Confederación Campesina del Perú (CCP)
Peasant Confederation of Peru (CCP) | ~ | CONGRESSES | ~ | Fifth Congress | ~ | Organizing Committee | ~ | Notes,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Fifth Congress | ~ | Organizing Committee | ~ | Agreements | ~ | Meetings,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Fifth Congress | ~ | Organizing Committee | ~ | Agreements | ~ | Meetings,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Sixth Congress | ~ | Organizing Committee | ~ | Regulations | ~ | Call | ~ | Agreements,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | CONGRESSES | ~ | Seventh Congress | ~ | Organizing Committee | ~ | Complaint,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Eighth Congress | ~ | Organizing Committee | ~ | Agreements | ~ | Meetings,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Eighth Congress | ~ | Organizing Committee | ~ | Agreements | ~ | Meetings,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Eighth Congress | ~ | Organizing Committee | ~ | Agreements | ~ | Meetings,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Press Secretariat and Propaganda | ~ | Communicates | ~ | Caps | ~ | cradle | ~ | Froilán Calderón | ~ | Javier Ten Canseco | ~ | Sais | ~ | Tupac Amaru II | ~ | Murder | ~ | Cocaleros | ~ | arrested | ~ | Human Rights | ~ | Forced disappearance | ~ | coca leaf | ~ | Agrarian League | ~ | MITIN | ~ | stops | ~ | Police | ~ | political prisoners | ~ | LAND RECOVERY | ~ | Sandinismo | ~ | Luminous Path | ~ | Sinchis | ~ | Terrorism | ~ | Taking land | ~ | Uchuracay | ~ | Ondores | ~ | eeuu,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | Human Rights Secretary | ~ | Cases | ~ | Arbitrary detention | ~ | Murder | ~ | lesions | ~ | Sinchis | ~ | Organizations,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | National Executive Committee | ~ | Agreements | ~ | Organizations | ~ | Organizations,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Fifth Congress | ~ | Correspondence | ~ | Montonero Peronist Movement | ~ | Amnesty International | ~ | Revolutionary Vanguard ~ | Equecco | ~ | chacan,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Fifth Congress | ~ | Correspondence | ~ | FOCEP | ~ | Revolutionary avant -garde | ~ | Federations | ~ | Universities | ~ | Unions | ~ | Peasant communities | ~ | equecco | ~ | Chacan,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Sixth Congress | ~ | Correspondence,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Sixth Congress | ~ | Correspondent | ~ | Federations | ~ | Unions | ~ | Revolutionary avant -garde | ~ | Organizations | ~ | Revolutionary Left Movement,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Sixth Congress | ~ | Correspondence | ~ | Organizations | ~ | Federations | ~ | Human Rights Organizations | ~ | CGTP | ~ | Universities | ~ | Communist Party of Peru | ~ | Revolutionary Communist Party,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Seventh Congress | ~ | Correspondence,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Seventh Congress | ~ | Correspondence,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Eighth Congress | ~ | Correspondence | ~ | Federations | ~ | Organizations | ~ | Social Justice | ~ | Agricultural Program | ~ | Commercialization | ~ | Market,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Eigh Congress | ~ | Correspondence | ~ | Federations | ~ | Organizations | ~ | Committees | ~ | Universities,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Eighth Congress | ~ | Agrarian conversation | ~ | Correspondence sent,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Congresses | ~ | Eighth Congress | ~ | Agrarian conversation | ~ | Correspondence received,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Council | ~ | First Council | ~ | Correspondence | ~ | Huaral,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Tip | ~ | First Council | ~ | Correspondence | ~ | fep | ~ | Progressive Lawyers Front | ~ | cocomi | ~ | SUTEP | ~ | Huaral,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Council | ~ | Second Council | ~ | Correspondence,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Council | ~ | Second Council | ~ | Correspondence | ~ | Juan H. Pevez,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP),Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Council | ~ | Third Council | ~ | Correspondence | ~ | Juan H. Pevez,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Council | ~ | Fourth Council | ~ | Correspondence,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Council | ~ | Fourth Council | ~ | Correspondence | ~ | Juan H. Pevez,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Council | ~ | Fifth Council | ~ | Correspondence,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Council | ~ | Sixth Council | ~ | Correspondence,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Council | ~ | Sixth Council | ~ | Correspondence | ~ | Federations | ~ | Unions | ~ | Municipality | ~ | Universities | ~ | Embassies | ~ | Political Parties | ~ | Organizations | ~ | Juan Hipólito Pevez,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Tips | ~ | Seventh Council | ~ | Correspondence,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Tips | ~ | Seventh Council | ~ | Correspondence,Archive of Confederación Campesina del Perú (CCP)
Campesina Confederation of Peru (CCP) | ~ | Tips | ~ | Eighth Council | ~ | Correspondence | ~ | Federations | ~ | National Strike | ~ | Huacho,Archive of Confederación Campesina del Perú (CCP)
